Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated,movie_id
1,Barbie,-,-,-,"$628,100,087",4337,"$614,576,857",Jul 21,Warner Bros.,False,1077904129
2,The Super Mario Bros. Movie,-,-,-,"$574,934,330",4371,"$574,934,330",Apr 5,Universal Pictures,False,1930593025
3,Spider-Man: Across the Spider-Verse,-,-,-,"$381,311,319",4332,"$381,311,319",Jun 2,Columbia Pictures,False,2812183041
4,Guardians of the Galaxy Vol. 3,-,-,-,"$358,995,815",4450,"$358,995,815",May 5,Walt Disney Studios Motion Pictures,False,2977202945
5,Oppenheimer,-,-,-,"$319,962,945",3761,"$312,136,955",Jul 21,Universal Pictures,False,3725886209
6,The Little Mermaid,-,-,-,"$298,172,056",4320,"$298,172,056",May 26,Walt Disney Studios Motion Pictures,False,1913750273
7,Avatar: The Way of Water,-,-,-,"$283,067,859",4340,"$684,075,767",Dec 16,20th Century Studios,False,3372254721
8,Ant-Man and the Wasp: Quantumania,-,-,-,"$214,504,909",4345,"$214,504,909",Feb 17,Walt Disney Studios Motion Pictures,False,3195306753
9,John Wick: Chapter 4,-,-,-,"$187,131,806",3855,"$187,131,806",Mar 24,Lionsgate,False,1644725761
10,Sound of Freedom,-,-,-,"$183,234,204",3411,"$183,234,204",Jul 4,Angel Studios,False,4254237441
11,Indiana Jones and the Dial of Destiny,-,-,-,"$174,480,468",4600,"$174,480,468",Jun 30,Walt Disney Studios Motion Pictures,False,2776598017
12,Mission: Impossible - Dead Reckoning Part One,-,-,-,"$172,135,383",4327,"$172,135,383",Jul 12,Paramount Pictures,False,1896449537
13,Transformers: Rise of the Beasts,-,-,-,"$157,066,392",3680,"$157,066,392",Jun 9,Paramount Pictures,False,1606320641
14,Creed III,-,-,-,"$156,248,615",4007,"$156,248,615",Mar 3,United Artists Releasing,False,1713734401
15,Elemental,-,-,-,"$154,376,516",4035,"$153,850,533",Jun 16,Walt Disney Studios Motion Pictures,False,1811383041
16,Fast X,-,-,-,"$145,960,660",4088,"$145,960,660",May 19,Universal Pictures,False,209683969
17,Puss in Boots: The Last Wish,-,-,-,"$129,870,190",4121,"$185,535,345",Dec 21,Universal Pictures,False,3899622145
18,Teenage Mutant Ninja Turtles: Mutant Mayhem,-,-,-,"$114,971,015",3950,"$114,971,015",Aug 2,Paramount Pictures,False,393904897
19,Scream VI,-,-,-,"$108,161,389",3676,"$108,161,389",Mar 10,Paramount Pictures,False,1714914049
20,The Flash,-,-,-,"$108,133,313",4256,"$108,133,313",Jun 16,Warner Bros.,False,2225635841
21,M3GAN,-,-,-,"$95,043,350",3628,"$95,043,350",Jan 6,Universal Pictures,False,1110147841
22,Dungeons & Dragons: Honor Among Thieves,-,-,-,"$93,277,026",3856,"$93,277,026",Mar 31,Paramount Pictures,False,1879410177
23,Insidious: The Red Door,-,-,-,"$82,156,962",3188,"$82,156,962",Jul 7,Screen Gems,False,1137607425
24,Meg 2: The Trench,-,-,-,"$81,893,895",3604,"$81,893,895",Aug 4,Warner Bros.,False,3090514689
25,The Equalizer 3,-,-,-,"$77,891,243",3965,"$49,765,408",Sep 1,Columbia Pictures,False,1430029057
26,Blue Beetle,-,-,-,"$68,412,767",3871,"$68,413,000",Aug 18,Warner Bros.,False,3693445889
27,Evil Dead Rise,-,-,-,"$67,233,054",3417,"$67,233,054",Apr 21,Warner Bros.,False,1289192193
28,Haunted Mansion,-,-,-,"$66,464,989",3740,"$66,464,989",Jul 28,Walt Disney Studios Motion Pictures,False,707822337
29,Cocaine Bear,-,-,-,"$64,388,510",3571,"$64,388,510",Feb 24,Universal Pictures,False,2503901953
30,A Man Called Otto,-,-,-,"$64,228,358",3957,"$64,267,657",Dec 30,Columbia Pictures,False,3442377473
31,The Nun II,-,-,-,"$63,222,020",3743,"$63,222,000",Sep 8,Warner Bros.,False,1339523841
32,Shazam! Fury of the Gods,-,-,-,"$57,638,006",4071,"$57,638,006",Mar 17,Warner Bros.,False,162234881
33,Air,-,-,-,"$52,460,106",3507,"$52,460,106",Apr 5,-,False,2106295041
34,Jesus Revolution,-,-,-,"$52,102,987",2575,"$52,102,987",Feb 24,Lionsgate,False,466125569
35,No Hard Feelings,-,-,-,"$50,452,282",3208,"$50,452,282",Jun 23,Sony Pictures Entertainment (SPE),False,4174349057
36,Talk to Me,-,-,-,"$47,323,331",2379,"$45,098,217",Jul 28,A24,False,3548742401
37,The Boogeyman,-,-,-,"$43,244,282",3205,"$43,244,282",Jun 2,Walt Disney Studios Motion Pictures,False,3958932225
38,Gran Turismo,-,-,-,"$40,658,539",3856,"$32,310,098",Aug 25,Sony Pictures Entertainment (SPE),False,3788079873
39,80 for Brady,-,-,-,"$39,330,588",3939,"$39,330,588",Feb 3,Paramount Pictures,False,3470820097
40,Knock at the Cabin,-,-,-,"$35,397,980",3657,"$35,397,980",Feb 3,Universal Pictures,False,3793191681
41,Missing,-,-,-,"$32,502,025",3025,"$32,502,025",Jan 20,Sony Pictures Entertainment (SPE),False,3403318017
42,Plane,-,-,-,"$32,111,181",3060,"$32,111,181",Jan 13,Lionsgate,False,1992983297
43,65,-,-,-,"$32,062,904",3405,"$32,062,904",Mar 10,Sony Pictures Entertainment (SPE),False,4235821825
